13/03, 0,   112,   0
14/03, 1,   169,   0
15/03, 2,   245,   0
16/03, 3,   331,   1
17/03, 4,   448,   1
18/03, 5,   642,   2
19/03, 6,   786,   4
20/03, 7,  1020,   6
21/03, 8,  1280,  12
22/03, 9,  1600,  14
23/03,10,  2060,  23
24/03,11,  2362,  33
25/03,12,  2995,  43
26/03,13,  3544,  60
27/03,14,  4268,  76
28/03,15,  5170, 100
29/03,16,  5962, 119
